date,W_RMW,W_CMA,W_HML,turnover,selected_lambda,clip_hit
2000-03-31,0.33333330435977604,0.33333337229908205,0.3333333233411419,0.0,100000,0.0
2000-04-30,0.3333333049175808,0.333333382254636,0.3333333128277833,2.1026717311745102e-08,100000,0.0
2000-05-31,0.33333331638996555,0.33333337200824636,0.3333333116017882,2.2944769473287607e-08,100000,0.0
2000-06-30,0.3333333353698976,0.3333333596664713,0.33333330496363106,3.79598642519241e-08,100000,0.0
2000-07-31,0.3333333179868383,0.3333333759222601,0.3333333060909017,3.476611876163105e-08,100000,0.0
2000-08-31,0.3333333025107816,0.33333338752614877,0.3333333099630697,3.095211337234005e-08,100000,0.0
2000-09-30,0.3333332979393134,0.33333339682650953,0.33333330523417715,1.860072151860237e-08,100000,0.0
2000-10-31,0.33333330290991164,0.3333333910423851,0.3333333060477032,1.1568248803328629e-08,100000,0.0
2000-11-30,0.3333333068439715,0.3333333925873635,0.333333300568665,1.0958076501754732e-08,100000,0.0
2000-12-31,0.33333330981244236,0.33333339301224657,0.33333329717531107,6.786707862360686e-09,100000,0.0
2001-01-31,0.33333330750398066,0.33333339416827573,0.33333329832774355,4.616923343636614e-09,100000,0.0
2001-02-28,0.3333333162019134,0.33333337493767323,0.3333333088604134,3.846120510964113e-08,100000,0.0
2001-03-31,0.33333331774720876,0.3333333464287054,0.33333333582408575,5.701793553969381e-08,100000,0.0
2001-04-30,0.3333333312740839,0.3333333399626179,0.3333333287632982,2.7053750184524716e-08,100000,0.0
2001-05-31,0.3333333423714502,0.3333333310363647,0.3333333265921852,2.219473249631676e-08,100000,0.0
2001-06-30,0.33333334031260803,0.33333332766749163,0.33333333201990034,1.0855430387923803e-08,100000,0.0
2001-07-31,0.33333334104404405,0.3333333276102729,0.33333333134568305,1.462872045721042e-09,100000,0.0
2001-08-31,0.33333334119029057,0.33333333033473483,0.3333333284749745,5.741417008486849e-09,100000,0.0
2001-09-30,0.33333333974923746,0.33333333097464257,0.33333332927612,2.8821063868811336e-09,100000,0.0
2001-10-31,0.33333335144354437,0.33333332270714844,0.3333333258493072,2.338861387896074e-08,100000,0.0
2001-11-30,0.3333333523817147,0.33333332303187224,0.33333332458641307,2.5257882452223157e-09,100000,0.0
2001-12-31,0.33333335969872885,0.333333314456576,0.33333332584469505,1.715059239071337e-08,100000,0.0
2002-01-31,0.3333333934477849,0.33333331025618373,0.3333332962960313,6.749811204409539e-08,100000,0.0
2002-02-28,0.3333333942762009,0.3333333107097877,0.3333332950140113,2.5640399803350533e-09,100000,0.0
2002-03-31,0.333333424693593,0.3333333057327029,0.33333326957370407,6.083478415463972e-08,100000,0.0
2002-04-30,0.3333334229928643,0.33333330118433563,0.3333332758228002,1.2498192147880616e-08,100000,0.0
2002-05-31,0.33333341370445224,0.33333330520783616,0.33333328108771154,1.8576823912486162e-08,100000,0.0
2002-06-30,0.3333334182801575,0.3333333051193615,0.3333332766004811,9.15141035173761e-09,100000,0.0
2002-07-31,0.33333341170717573,0.33333330780345644,0.33333328048936783,1.3145963428939922e-08,100000,0.0
2002-08-31,0.3333334087126165,0.3333333117507131,0.3333332795366703,7.894513431860872e-09,100000,0.0
2002-09-30,0.33333338874548846,0.3333333166842598,0.3333332945702517,3.993425612414114e-08,100000,0.0
2002-10-31,0.33333338478342994,0.3333333211767033,0.33333329403986667,8.98488700107336e-09,100000,0.0
2002-11-30,0.33333340399840977,0.333333315301802,0.3333332806997882,3.842995960345874e-08,100000,0.0
2002-12-31,0.33333340336135525,0.3333333100270126,0.3333332866116321,1.182368780661136e-08,100000,0.0
2003-01-31,0.33333339036172394,0.33333331520746023,0.33333329443081583,2.5999262687204094e-08,100000,0.0
2003-02-28,0.33333338802495033,0.33333331357815243,0.3333332983968973,7.93216287098275e-09,100000,0.0
2003-03-31,0.33793848822311373,0.3328408431141245,0.3292206686627618,0.009210200396326862,1,0.0
2003-04-30,0.33790867323072,0.33251586067883865,0.3295754660904412,0.0007095948553589859,1,0.0
2003-05-31,0.3383238183590365,0.3325951666204783,0.32908101502048515,0.0009889021399122067,1,0.0
2003-06-30,0.3378129974049489,0.3331926872842448,0.3289943153108063,0.001195041327532953,1,0.0
2003-07-31,0.3390012917844215,0.3328798649269289,0.32811884328864965,0.0023765887589451418,1,0.0
2003-08-31,0.3398075233457543,0.33181740196676257,0.32837507468748317,0.002124925920332643,1,0.0
2003-09-30,0.33967324987913794,0.331877178925602,0.32844957119526,0.00026854693323263845,1,0.0
2003-10-31,0.33834690389955246,0.3322299088290069,0.3294231872714406,0.0026526919591709497,1,0.0
2003-11-30,0.3386532082637345,0.3317886041600004,0.32955818757626515,0.0008826093380130962,1,0.0
2003-12-31,0.3384031238129782,0.3317947805261777,0.32980209566084406,0.0005001689015125543,1,0.0
2004-01-31,0.3381823825447057,0.3317203181671749,0.3300972992881195,0.0005904072545507844,1,0.0
2004-02-29,0.33730826753143817,0.33169209680959383,0.3309996356589679,0.0018046727416969888,1,0.0
2004-03-31,0.3333333372629651,0.3333333290344111,0.33333333370262386,0.007949860536946296,100000,0.0
2004-04-30,0.3333333365186445,0.3333333301526093,0.33333333332874615,2.2363965124228002e-09,100000,0.0
2004-05-31,0.33333333985966174,0.33333332484843003,0.3333333352919083,1.060835863597731e-08,100000,0.0
2004-06-30,0.33333333946419436,0.3333333237028719,0.33333333683293387,3.0820511143225815e-09,100000,0.0
2004-07-31,0.3333333388466572,0.3333333282575357,0.333333332895807,9.109327792078403e-09,100000,0.0
2004-08-31,0.3333333375532706,0.3333333310843113,0.3333333313624182,5.653551016226999e-09,100000,0.0
2004-09-30,0.3333333341821639,0.33333333365505213,0.3333333321627838,6.742213176647027e-09,100000,0.0
2004-10-31,0.33333333344268395,0.3333333340682741,0.3333333324890419,1.4789599545039778e-09,100000,0.0
2004-11-30,0.33333333020088257,0.3333333309265665,0.3333333388725511,1.2767018220394277e-08,100000,0.0
2004-12-31,0.3333333294829311,0.3333333271115581,0.3333333434055107,9.06591940408319e-09,100000,0.0
2005-01-31,0.33333332855668524,0.3333333276675035,0.33333334377581136,1.852491937626155e-09,100000,0.0
2005-02-28,0.3333333259405243,0.33333332774373764,0.33333334631573797,5.232321687032027e-09,100000,0.0
2005-03-31,0.33333333123142017,0.3333333174203478,0.33333335134823217,2.06467799523935e-08,100000,0.0
2005-04-30,0.3333333324855234,0.3333333195371873,0.33333334797728936,6.74188554983246e-09,100000,0.0
2005-05-31,0.3333333286682709,0.33333332727402476,0.33333334405770443,1.547367484144857e-08,100000,0.0
2005-06-30,0.3333333269135748,0.3333333394864265,0.33333333359999845,2.4424803846123666e-08,100000,0.0
2005-07-31,0.3333333244608399,0.3333333445490427,0.3333333309901173,1.0125232208224588e-08,100000,0.0
2005-08-31,0.33333332558063866,0.33333334285342714,0.33333333156593414,3.3912311292461084e-09,100000,0.0
2005-09-30,0.3333333212198574,0.33333334482050625,0.33333333395963644,8.721562638758229e-09,100000,0.0
2005-10-31,0.33333332479109545,0.33333334425073335,0.3333333309581712,7.142476166066558e-09,100000,0.0
2005-11-30,0.3333333240854271,0.3333333486947003,0.3333333272198724,8.88793411091271e-09,100000,0.0
2005-12-31,0.33333332296255686,0.33333335112784535,0.33333332590959774,4.866289926575007e-09,100000,0.0
2006-01-31,0.333333320572523,0.3333333514635261,0.33333332796395093,4.780067786036568e-09,100000,0.0
2006-02-28,0.3333333178876487,0.33333335360555716,0.3333333285067942,5.369748645733807e-09,100000,0.0
2006-03-31,0.3333333117086885,0.3333333504218547,0.3333333378694568,1.8725325234836276e-08,100000,0.0
2006-04-30,0.33333331524089865,0.33333334512681384,0.3333333396322875,1.0590081700456722e-08,100000,0.0
2006-05-31,0.333333315916462,0.33333334176738016,0.3333333423161577,6.7188671848406045e-09,100000,0.0
2006-06-30,0.33333331573546654,0.3333333389881505,0.333333345276383,5.920450407703726e-09,100000,0.0
2006-07-31,0.3333333147079248,0.333333346231938,0.33333333906013735,1.4487574861998809e-08,100000,0.0
2006-08-31,0.33333331217960704,0.33333334938936454,0.3333333384310284,6.314853251421226e-09,100000,0.0
2006-09-30,0.3333333094998933,0.33333335118843194,0.33333333931167475,5.3594274573853795e-09,100000,0.0
2006-10-31,0.3333333105190993,0.3333333512133984,0.3333333382675023,2.0883449414199617e-09,100000,0.0
